statistic_id,unit,start,state,sum
sensor:water_usage,m³,01.01.2025 00:00,0.18,0.18
sensor:water_usage,m³,02.01.2025 00:00,0.84,1.02
sensor:water_usage,m³,03.01.2025 00:00,0.18,1.2
sensor:water_usage,m³,04.01.2025 00:00,1.03,2.23
sensor:water_usage,m³,05.01.2025 00:00,0.88,3.11
sensor:water_usage,m³,06.01.2025 00:00,0.25,3.36
sensor:water_usage,m³,07.01.2025 00:00,0.88,4.24
sensor:water_usage,m³,08.01.2025 00:00,0.2,4.44
sensor:water_usage,m³,09.01.2025 00:00,0.89,5.33
sensor:water_usage,m³,10.01.2025 00:00,0.97,6.3
sensor:water_usage,m³,11.01.2025 00:00,0.25,6.55
sensor:water_usage,m³,12.01.2025 00:00,0.83,7.38
sensor:water_usage,m³,13.01.2025 00:00,0.29,7.67
sensor:water_usage,m³,14.01.2025 00:00,0.84,8.51
sensor:water_usage,m³,15.01.2025 00:00,0.26,8.77
sensor:water_usage,m³,16.01.2025 00:00,0.83,9.6
sensor:water_usage,m³,17.01.2025 00:00,0.21,9.81
sensor:water_usage,m³,18.01.2025 00:00,0.85,10.66
sensor:water_usage,m³,19.01.2025 00:00,0.21,10.87
sensor:water_usage,m³,20.01.2025 00:00,1.4,12.27
sensor:water_usage,m³,21.01.2025 00:00,0.95,13.22
sensor:water_usage,m³,22.01.2025 00:00,0.27,13.49
sensor:water_usage,m³,23.01.2025 00:00,0.53,14.02
sensor:water_usage,m³,24.01.2025 00:00,0.63,14.65
sensor:water_usage,m³,25.01.2025 00:00,0.23,14.88
sensor:water_usage,m³,26.01.2025 00:00,0.37,15.25
sensor:water_usage,m³,27.01.2025 00:00,1.3,16.55
sensor:water_usage,m³,28.01.2025 00:00,0.24,16.79
sensor:water_usage,m³,29.01.2025 00:00,0.18,16.97
sensor:water_usage,m³,30.01.2025 00:00,0.29,17.26
sensor:water_usage,m³,31.01.2025 00:00,0.87,18.13
sensor:water_usage,m³,01.02.2025 00:00,0.39,18.52
sensor:water_usage,m³,02.02.2025 00:00,0.19,18.71
sensor:water_usage,m³,03.02.2025 00:00,0.8,19.51
sensor:water_usage,m³,04.02.2025 00:00,0.97,20.48
sensor:water_usage,m³,05.02.2025 00:00,0.81,21.29
sensor:water_usage,m³,06.02.2025 00:00,0.26,21.55
sensor:water_usage,m³,07.02.2025 00:00,0.42,21.97
sensor:water_usage,m³,08.02.2025 00:00,0.25,22.22
sensor:water_usage,m³,09.02.2025 00:00,0.8,23.02
sensor:water_usage,m³,10.02.2025 00:00,0.25,23.27
sensor:water_usage,m³,11.02.2025 00:00,0.19,23.46
sensor:water_usage,m³,12.02.2025 00:00,0.84,24.3
sensor:water_usage,m³,13.02.2025 00:00,0.19,24.49
sensor:water_usage,m³,14.02.2025 00:00,0.92,25.41
sensor:water_usage,m³,15.02.2025 00:00,0.21,25.62
sensor:water_usage,m³,16.02.2025 00:00,0.83,26.45
sensor:water_usage,m³,17.02.2025 00:00,0.24,26.69
sensor:water_usage,m³,18.02.2025 00:00,0.93,27.62
sensor:water_usage,m³,19.02.2025 00:00,0.25,27.87
sensor:water_usage,m³,20.02.2025 00:00,0.83,28.7
sensor:water_usage,m³,21.02.2025 00:00,0.22,28.92
sensor:water_usage,m³,22.02.2025 00:00,0.87,29.79
sensor:water_usage,m³,23.02.2025 00:00,0.18,29.97
sensor:water_usage,m³,24.02.2025 00:00,0.92,30.89
sensor:water_usage,m³,25.02.2025 00:00,0.21,31.1
sensor:water_usage,m³,26.02.2025 00:00,0.8,31.9
sensor:water_usage,m³,27.02.2025 00:00,0.25,32.15
sensor:water_usage,m³,28.02.2025 00:00,0.06,32.21
sensor:water_usage,m³,01.03.2025 00:00,0.74,32.95
sensor:water_usage,m³,02.03.2025 00:00,0.15,33.1
sensor:water_usage,m³,03.03.2025 00:00,0.91,34.01
sensor:water_usage,m³,04.03.2025 00:00,0.24,34.25
sensor:water_usage,m³,05.03.2025 00:00,0.81,35.06
sensor:water_usage,m³,06.03.2025 00:00,0.25,35.31
sensor:water_usage,m³,07.03.2025 00:00,0.21,35.52
sensor:water_usage,m³,08.03.2025 00:00,0.83,36.35
sensor:water_usage,m³,09.03.2025 00:00,0.17,36.52
sensor:water_usage,m³,10.03.2025 00:00,0.88,37.4
sensor:water_usage,m³,11.03.2025 00:00,0.18,37.58
sensor:water_usage,m³,12.03.2025 00:00,0.98,38.56
sensor:water_usage,m³,13.03.2025 00:00,0.21,38.77
sensor:water_usage,m³,14.03.2025 00:00,0.6,39.37
sensor:water_usage,m³,15.03.2025 00:00,0.36,39.73
sensor:water_usage,m³,16.03.2025 00:00,0.18,39.91
sensor:water_usage,m³,17.03.2025 00:00,1.03,40.94
sensor:water_usage,m³,18.03.2025 00:00,0.25,41.19
sensor:water_usage,m³,19.03.2025 00:00,0.49,41.68
sensor:water_usage,m³,20.03.2025 00:00,0.39,42.07
sensor:water_usage,m³,21.03.2025 00:00,1.07,43.14
sensor:water_usage,m³,22.03.2025 00:00,0.33,43.47
sensor:water_usage,m³,23.03.2025 00:00,0.15,43.62
sensor:water_usage,m³,24.03.2025 00:00,0.3,43.92
sensor:water_usage,m³,25.03.2025 00:00,0.22,44.14
sensor:water_usage,m³,26.03.2025 00:00,0.24,44.38
sensor:water_usage,m³,27.03.2025 00:00,0.34,44.72
sensor:water_usage,m³,28.03.2025 00:00,0.24,44.96
sensor:water_usage,m³,29.03.2025 00:00,0.48,45.44
sensor:water_usage,m³,30.03.2025 00:00,0.14,45.58
sensor:water_usage,m³,31.03.2025 00:00,0.84,46.42
sensor:water_usage,m³,01.04.2025 00:00,0.28,46.7
sensor:water_usage,m³,02.04.2025 00:00,0.22,46.92
sensor:water_usage,m³,03.04.2025 00:00,0.24,47.16
sensor:water_usage,m³,04.04.2025 00:00,0.22,47.38
sensor:water_usage,m³,05.04.2025 00:00,0.23,47.61
sensor:water_usage,m³,06.04.2025 00:00,0.14,47.75
sensor:water_usage,m³,07.04.2025 00:00,0.31,48.06
sensor:water_usage,m³,08.04.2025 00:00,0.31,48.37
sensor:water_usage,m³,09.04.2025 00:00,0.38,48.75
sensor:water_usage,m³,10.04.2025 00:00,1.25,50
sensor:water_usage,m³,11.04.2025 00:00,0.38,50.38
sensor:water_usage,m³,12.04.2025 00:00,0.32,50.7
sensor:water_usage,m³,13.04.2025 00:00,0.31,51.01
sensor:water_usage,m³,14.04.2025 00:00,0.39,51.4
sensor:water_usage,m³,15.04.2025 00:00,1.18,52.58
sensor:water_usage,m³,16.04.2025 00:00,0.97,53.55
sensor:water_usage,m³,17.04.2025 00:00,0.36,53.91
sensor:water_usage,m³,18.04.2025 00:00,0.48,54.39
sensor:water_usage,m³,19.04.2025 00:00,0.39,54.78
sensor:water_usage,m³,20.04.2025 00:00,1.03,55.81
sensor:water_usage,m³,21.04.2025 00:00,0.37,56.18
sensor:water_usage,m³,22.04.2025 00:00,0.49,56.67
sensor:water_usage,m³,23.04.2025 00:00,0.45,57.12
sensor:water_usage,m³,24.04.2025 00:00,0.35,57.47
sensor:water_usage,m³,25.04.2025 00:00,0.94,58.41
sensor:water_usage,m³,26.04.2025 00:00,0.38,58.79
sensor:water_usage,m³,27.04.2025 00:00,0.51,59.3
sensor:water_usage,m³,28.04.2025 00:00,0.34,59.64
sensor:water_usage,m³,29.04.2025 00:00,1.13,60.77
sensor:water_usage,m³,30.04.2025 00:00,0.39,61.16
sensor:water_usage,m³,01.05.2025 00:00,0.72,61.88
sensor:water_usage,m³,02.05.2025 00:00,0.59,62.47
sensor:water_usage,m³,03.05.2025 00:00,1,63.47
sensor:water_usage,m³,04.05.2025 00:00,0.39,63.86
sensor:water_usage,m³,05.05.2025 00:00,0.85,64.71
sensor:water_usage,m³,06.05.2025 00:00,0.79,65.5
sensor:water_usage,m³,07.05.2025 00:00,0.88,66.38
sensor:water_usage,m³,08.05.2025 00:00,0.97,67.35
sensor:water_usage,m³,09.05.2025 00:00,0.92,68.27
sensor:water_usage,m³,10.05.2025 00:00,1.88,70.15
sensor:water_usage,m³,11.05.2025 00:00,0.96,71.11
sensor:water_usage,m³,12.05.2025 00:00,1.57,72.68
sensor:water_usage,m³,13.05.2025 00:00,1.07,73.75
sensor:water_usage,m³,14.05.2025 00:00,1.31,75.06
sensor:water_usage,m³,15.05.2025 00:00,1.19,76.25
sensor:water_usage,m³,16.05.2025 00:00,1.73,77.98
sensor:water_usage,m³,17.05.2025 00:00,1.2,79.18
sensor:water_usage,m³,18.05.2025 00:00,1.09,80.27
sensor:water_usage,m³,19.05.2025 00:00,1.1,81.37
